driver_id,customer_id,n_trips,avg_gmv,n_ghost,min_gap_min,n_close_gap,n_gap_valid,promo_rate,pct_close_gap,ghost_rate,high_confidence,n_rated_by_customer,n_rated_by_driver,pct_rate_customer_is_5,pct_rate_driver_is_5,mutual_perfect_rating,total_gmv_flagged,if_score_percentile,vae_rank_pct,lof_score_percentile
ccf75c31af4079eb,d147869648f3e847,28,239785.7142857143,0,26.1,0,27,1.0,0.0,0.0,False,24,26,1.0,1.0,True,6714000.0,0.012221096605370267,0.005645187272017793,0.7294784734726314
cd1fddf0d2ed0499,3833963d514e2806,24,175833.33333333334,0,20.3,0,23,1.0,0.0,0.0,False,22,24,1.0,1.0,True,4220000.0,0.007614022401764077,0.013090963762694474,0.6148063561157389
cd3023f265ccdede,8fdf179dc427e70b,30,125066.66666666669,0,20.366666666666667,0,29,1.0,0.0,0.0,False,20,30,1.0,1.0,True,3752000.0,0.003987786062795102,0.0094289304213665,0.18689256961622033
cd68f266461f708d,c2ba05545db896d5,71,50690.140845070426,0,2.25,15,70,0.028169014084507,0.2142857142857142,0.0,False,70,71,1.0,1.0,True,3599000.0,0.021338593106213284,0.00032575272146706524,0.011626866366210494
cd8b70c447ad4e60,6da2b1e158103919,29,238241.37931034484,0,26.616666666666667,0,28,0.0,0.0,0.0,False,24,27,1.0,1.0,True,6909000.0,0.022595067889014973,0.023414819243036566,0.03288312636699803
cdc8799609bbf7f0,9887a48fa3869c88,30,191500.0,0,12.35,0,29,0.8,0.0,0.0,False,29,29,1.0,1.0,True,5745000.0,0.005272898447484008,0.004664349407380586,0.529222882875788
cde01058a752b1e5,452465cf364443a6,26,493653.8461538461,1,20.23333333333333,0,25,0.8846153846153846,0.0,0.0384615384615384,False,20,26,1.0,1.0,True,12835000.0,0.00018614441226691677,6.801430448211132e-05,0.0038123807512358914
ce1268dca72a8396,05d30bc2e4f8fad9,26,216346.15384615384,0,47.6,0,25,0.9615384615384616,0.0,0.0,False,15,0,1.0,,False,5625000.0,0.0043708139880366415,0.005820592583577033,0.2981747108497134
ce59d018edb30dec,8407fd2ec6b8430b,24,87333.33333333333,21,46.31666666666667,0,23,0.9166666666666666,0.0,0.875,True,22,0,1.0,,False,2096000.0,0.0006336069417546974,0.0020153712328129236,0.12411536657920266
ceb7989983d5a85e,9db5ddf47eea3c6a,30,99333.33333333331,0,16.3,0,29,0.5333333333333333,0.0,0.0,False,29,30,1.0,1.0,True,2980000.0,0.055549788260731044,0.0031608753083016694,0.041921869462651196
ced71eed9e10ccfa,5381df4c62831fc4,25,224160.0,1,17.05,0,24,0.92,0.0,0.04,False,18,0,1.0,,False,5604000.0,0.0033004836175018703,0.005555694766120278,0.8246376448436208
cf0db097250642da,6c221af6c7985219,29,260241.37931034484,0,34.333333333333336,0,28,1.0,0.0,0.0,False,27,26,1.0,1.0,True,7547000.0,0.008154557137385315,0.004703726109975603,0.4321306733774114
cf3431835962aed2,a577f350e0da5900,26,95653.84615384616,3,9.883333333333333,0,25,0.9615384615384616,0.0,0.1153846153846153,False,14,24,1.0,1.0,True,2487000.0,0.003382816722927622,0.02207601135480919,0.12846828206605979
cf3e2e37545547d5,007096d0c4ffc89b,26,183269.2307692308,1,73.76666666666667,0,25,1.0,0.0,0.0384615384615384,False,5,25,1.0,1.0,True,4765000.0,0.00811518043479039,0.00614634530504421,0.08618128317934656
cf90521e2ab56c13,ccbf69a167d3bc20,25,244480.0,0,40.1,0,24,0.96,0.0,0.0,False,23,25,1.0,1.0,True,6112000.0,0.008666454271119336,0.00539460825550464,0.8117972600974395
d010590778bca2fe,b0ee3841e4599fc9,33,267393.9393939394,1,12.35,0,32,0.8181818181818182,0.0,0.0303030303030303,False,33,28,0.9696969696969696,1.0,False,8824000.0,0.010499260791901286,0.002394819457818609,0.7592830576367535
d09f0fc3a9e2b713,45f8d9cfc8c4d426,26,135500.0,0,18.85,0,25,0.6538461538461539,0.0,0.0,False,16,24,1.0,1.0,True,3523000.0,0.04465318074264461,0.013316484877556323,0.11201240008161717
d0cbd5169a6537fb,96d32eba1a11ea52,30,189866.66666666663,8,30.73333333333333,0,29,0.9666666666666668,0.0,0.2666666666666666,False,14,30,1.0,1.0,True,5696000.0,0.0007159400471804491,0.004317118484498117,0.03440449896725648
d0ffcfc1dd0cd0d5,e7ecf049b876ba58,58,150431.0344827586,2,7.783333333333333,0,57,0.6896551724137931,0.0,0.0344827586206896,False,53,58,1.0,1.0,True,8725000.0,0.0018542847221973632,0.0018363862210178938,0.011114969232476473
d12f804924315002,612419bc5cf38756,35,209942.85714285716,0,3.8,1,34,0.7428571428571429,0.0294117647058823,0.0,False,17,33,1.0,1.0,True,7348000.0,0.007248892977702048,0.0003866076254774864,0.010560115695911624
d16001e216748caf,475c8dafea88d299,32,199156.25,0,22.016666666666666,0,31,0.84375,0.0,0.0,False,29,31,1.0,1.0,True,6373000.0,0.005638027871546037,0.006132026504100496,0.8673721062598218
d170733394c60c0e,3fc889bea23cc1a5,24,252041.66666666663,0,31.216666666666665,0,23,0.9583333333333334,0.0,0.0,False,14,24,1.0,1.0,True,6049000.0,0.004660769707144723,0.003615497238261267,0.3992654455115929
d18858f86da8e318,46668895fe142229,25,167240.0,2,8.416666666666666,0,24,0.84,0.0,0.08,False,20,1,1.0,1.0,True,4181000.0,0.0043922921894520555,0.014311641543137132,0.875530243097443
d1b5368c6d605e6c,41c2d70ca10b46b8,32,165187.5,1,13.083333333333334,0,31,0.96875,0.0,0.03125,False,27,0,1.0,,False,5286000.0,0.005140449538755624,0.004417350091103334,0.7197452685312132
d1c896d0c39c5132,b3d0110705b75467,34,107411.76470588236,0,7.766666666666667,0,33,1.0,0.0,0.0,False,29,30,1.0,1.0,True,3652000.0,0.013896396315772518,0.0018005892186587769,0.05061338163542185
d1c9bed6320f2ecc,546799c1602c58c2,27,166407.40740740742,1,93.11666666666666,0,26,0.8148148148148148,0.0,0.037037037037037,False,16,27,1.0,1.0,True,4493000.0,0.010173508070434182,0.008820381381263176,0.3019154975962313
d1e7832b74a7fa63,39fabc7357bcb650,26,244161.53846153847,2,67.08333333333333,0,25,0.8461538461538461,0.0,0.0769230769230769,False,25,24,1.0,1.0,True,6348200.0,0.010535057794260309,0.006511474729106181,0.564264568485035
d216dadeed5008e9,0c758bc5a8abd8bf,28,237821.42857142855,0,19.8,0,27,0.9285714285714286,0.0,0.0,False,16,28,1.0,1.0,True,6659000.0,0.015396290714615558,0.006751314644911632,0.5499887239442569
d23dcf44bfe2ef3e,70ffa8c2ecbff276,30,171333.33333333334,0,17.516666666666666,0,29,0.9666666666666668,0.0,0.0,False,14,30,1.0,1.0,True,5140000.0,0.010943143621153164,0.0076891961067180326,0.21299574373641952
d26cb90fab59d2fb,7a0b51a791536acf,26,323730.76923076925,6,44.36666666666667,0,25,0.8461538461538461,0.0,0.2307692307692307,False,18,26,1.0,1.0,True,8417000.0,0.003364918221748111,0.0063861852208496606,0.14086836368322517
d27e537c78b190bc,bdd871f1d9e28629,37,142540.54054054053,0,40.833333333333336,0,36,0.8108108108108109,0.0,0.0,False,36,33,1.0,1.0,True,5274000.0,0.0027169924790498043,0.0033362806198609096,0.17971169094300044
d28c67006b7e7fd6,442c0154ab449130,25,200560.0,0,41.85,0,24,0.92,0.0,0.0,False,11,25,1.0,1.0,True,5014000.0,0.03260033004836175,0.012883341149012129,0.21054722877506238
